序号,中文名称,英文名称,学名
248,马利塚雉,Micronesian Megapode,Megapodius laperouse
249,尼柯巴塚雉,Nicobar Megapode,Megapodius nicobariensis
250,菲律宾塚雉,Philippine Megapode,Megapodius cumingii
251,苏拉塚雉,Sula Megapode,Megapodius bernsteinii
252,塔宁冢雉,Tanimbar Megapode,Megapodius tenimberensis
253,暗色塚雉,Dusky Megapode,Megapodius freycinet
254,比亚克冢雉,Biak Scrubfowl,Megapodius geelvinkianus
255,红斑塚雉,Melanesian Megapode,Megapodius eremita
256,瓦努阿图塚雉,Vanuatu Megapode,Megapodius layardi
257,斑喉塚雉,New Guinea Scrubfowl,Megapodius decollatus
258,橙脚塚雉,Orange-footed Scrubfowl,Megapodius reinwardt
259,纯色小冠雉,Plain Chachalaca,Ortalis vetula
260,灰头小冠雉,Grey-headed Chachalaca,Ortalis cinereiceps
261,栗翅小冠雉,Chestnut-winged Chachalaca,Ortalis garrula
262,棕臀小冠雉,Rufous-vented Chachalaca,Ortalis ruficauda
263,棕头小冠雉,Rufous-headed Chachalaca,Ortalis erythroptera
264,棕腹小冠雉,Rufous-bellied Chachalaca,Ortalis wagleri
265,墨西哥小冠雉,West Mexican Chachalaca,Ortalis poliocephala
266,乔科小冠雉,Chaco Chachalaca,Ortalis canicollis
267,白腹小冠雉,White-bellied Chachalaca,Ortalis leucogastra
268,鳞斑小冠雉,Speckled Chachalaca,Ortalis guttata
269,东巴西小冠雉,East Brazilian Chachalaca,Ortalis araucuan
270,点斑小冠雉,Scaled Chachalaca,Ortalis squamata
271,哥伦比亚小冠雉,Colombian Chachalaca,Ortalis columbiana
272,小冠雉,Little Chachalaca,Ortalis motmot
273,栗头小冠雉,Chestnut-headed Chachalaca,Ortalis ruficeps
274,黄眉小冠雉,Buff-browed Chachalaca,Ortalis superciliaris
275,斑尾冠雉,Band-tailed Guan,Penelope argyrotis
276,须冠雉,Bearded Guan,Penelope barbata
277,古铜冠雉,Baudo Guan,Penelope ortoni
278,安第斯冠雉,Andean Guan,Penelope montagnii
279,绿背冠雉,Marail Guan,Penelope marail
