序号,中文名称,英文名称,学名
9455,桂红织雀,Cinnamon Weaver,Ploceus badius
9456,栗织雀,Chestnut Weaver,Ploceus rubiginosus
9457,金枕织雀,Golden-naped Weaver,Ploceus aureonucha
9458,黄肩织雀,Yellow-mantled Weaver,Ploceus tricolor
9459,白枕黑织雀,Maxwell's Black Weaver,Ploceus albinucha
9460,纳利织雀,Nelicourvi Weaver,Ploceus nelicourvi
9461,萨卡织雀,Sakalava Weaver,Ploceus sakalava
9462,亚洲金织雀,Asian Golden Weaver,Ploceus hypoxanthus
9463,褐翅织雀,Compact Weaver,Ploceus superciliosus
9464,黑胸织雀,Black-breasted Weaver,Ploceus benghalensis
9465,纹胸织雀,Streaked Weaver,Ploceus manyar
9466,黄胸织雀,Baya Weaver,Ploceus philippinus
9467,巨嘴织雀,Finn's Weaver,Ploceus megarhynchus
9468,灰背织雀,Dark-backed Weaver,Ploceus bicolor
9469,金背织雀,Preuss's Weaver,Ploceus preussi
9470,黄顶织雀,Yellow-capped Weaver,Ploceus dorsomaculatus
9471,绿头金织雀,Olive-headed Weaver,Ploceus olivaceiceps
9472,坦桑织雀,Usambara Weaver,Ploceus nicolli
9473,褐顶织雀,Brown-capped Weaver,Ploceus insignis
9474,斑翅织雀,Bar-winged Weaver,Ploceus angolensis
9475,圣多美织雀,Sao Tome Weaver,Ploceus sanctithomae
9476,黄腿精织雀,Yellow-legged Weaver,Ploceus flavipes
9477,朱顶精织雀,Red-crowned Malimbe,Malimbus coronatus
9478,黑喉精织雀,Cassin's Malimbe,Malimbus cassini
9479,金胸精织雀,Rachel's Malimbe,Malimbus racheliae
9480,保氏精织雀,Gola Malimbe,Malimbus ballmanni
9481,红臀精织雀,Red-vented Malimbe,Malimbus scutatus
9482,尼日利亚精织雀,Ibadan Malimbe,Malimbus ibadanensis
9483,蓝嘴精织雀,Blue-billed Malimbe,Malimbus nitens
9484,红头精织雀,Red-headed Malimbe,Malimbus rubricollis
9485,红腹精织雀,Red-bellied Malimbe,Malimbus erythrogaster
9486,冠精织雀,Crested Malimbe,Malimbus malimbicus
9487,红头编织雀,Red-headed Weaver,Anaplectes rubriceps
9488,绯红奎利亚雀,Cardinal Quelea,Quelea cardinalis
9489,红头奎利亚雀,Red-headed Quelea,Quelea erythrops
9490,红嘴奎利亚雀,Red-billed Quelea,Quelea quelea
9491,红织雀,Red Fody,Foudia madagascariensis
9492,马岛红头织雀,Comoros Fody,Foudia eminentissima
9493,阿岛织雀,Aldabra Fody,Foudia aldabrana
9494,林织雀,Forest Fody,Foudia omissa
9495,毛里求斯织雀,Mauritius Fody,Foudia rubra
9496,塞舌尔织雀,Seychelles Fody,Foudia sechellarum
9497,罗岛织雀,Rodrigues Fody,Foudia flavicans
9498,短尾织雀,Bob-tailed Weaver,Brachycope anomala
9499,黄顶巧织雀,Yellow-crowned Bishop,Euplectes afer
9500,火额巧织雀,Fire-fronted Bishop,Euplectes diadematus
9501,黑巧织雀,Black Bishop,Euplectes gierowii
9502,黑臀巧织雀,Zanzibar Red Bishop,Euplectes nigroventris
9503,黑翅巧织雀,Black-winged Red Bishop,Euplectes hordeaceus
9504,红巧织雀,Southern Red Bishop,Euplectes orix
9505,橙巧织雀,Northern Red Bishop,Euplectes franciscanus
9506,金背巧织雀,Golden-backed Bishop,Euplectes aureus
9507,黄巧织雀,Yellow Bishop,Euplectes capensis
9508,扇尾巧织雀,Fan-tailed Widowbird,Euplectes axillaris
9509,黄肩巧织雀,Yellow-mantled Widowbird,Euplectes macroura
9510,沼泽巧织雀,Marsh Widowbird,Euplectes hartlaubi
9511,淡黄肩织雀,Montane Widowbird,Euplectes psammacromius
9512,白翅巧织雀,White-winged Widowbird,Euplectes albonotatus
9513,红领巧织雀,Red-collared Widowbird,Euplectes ardens
9514,长尾巧织雀,Long-tailed Widowbird,Euplectes progne
9515,杰氏巧织雀,Jackson's Widowbird,Euplectes jacksoni
9516,啄花雀,Woodhouse's Antpecker,Parmoptila woodhousei
9517,红额啄花雀,Red-fronted Antpecker,Parmoptila rubrifrons
9518,詹氏啄花雀,Jameson's Antpecker,Parmoptila jamesoni
9519,白胸黑雀,White-breasted Nigrita,Nigrita fusconotus
9520,栗胸黑雀,Chestnut-breasted Nigrita,Nigrita bicolor
9521,淡额黑雀,Pale-fronted Nigrita,Nigrita luteifrons
9522,灰冠黑雀,Grey-headed Nigrita,Nigrita canicapillus
9523,小绿背织雀,Shelley's Oliveback,Nesocharis shelleyi
9524,白领绿背织雀,White-collared Oliveback,Nesocharis ansorgei
9525,灰头绿背织雀,Grey-headed Oliveback,Delacourella capistrata
9526,红嘴斑腹雀,Red-billed Pytilia,Pytilia lineata
9527,红翅斑腹雀,Red-winged Pytilia,Pytilia phoenicoptera
9528,黄翅斑腹雀,Yellow-winged Pytilia,Pytilia hypogrammica
9529,橙翅斑腹雀,Orange-winged Pytilia,Pytilia afra
9530,绿翅斑腹雀,Green-winged Pytilia,Pytilia melba
9531,红头环喉雀,Red-headed Finch,Amadina erythrocephala
9532,环喉雀,Cut-throat Finch,Amadina fasciata
9533,绿背斑雀,Green Twinspot,Mandingoa nitidula
9534,红脸朱翅雀,Red-faced Crimsonwing,Cryptospiza reichenovii
9535,绿背朱翅雀,Abyssinian Crimsonwing,Cryptospiza salvadorii
9536,暗腹朱翅雀,Dusky Crimsonwing,Cryptospiza jacksoni
9537,谢氏朱翅雀,Shelley's Crimsonwing,Cryptospiza shelleyi
9538,黑腹裂籽雀,Black-bellied Seedcracker,Pyrenestes ostrinus
9539,赤红裂籽雀,Crimson Seedcracker,Pyrenestes sanguineus
9540,小裂籽雀,Lesser Seedcracker,Pyrenestes minor
9541,灰颊蓝嘴雀,Grant's Bluebill,Spermophaga poliogenys
9542,红胸蓝嘴雀,Western Bluebill,Spermophaga haematina
9543,红头蓝嘴雀,Red-headed Bluebill,Spermophaga ruficapilla
9544,褐双点雀,Brown Twinspot,Clytospiza monteiri
9545,玫胸斑雀,Pink-throated Twinspot,Hypargos margaritatus
9546,朱胸斑雀,Red-throated Twinspot,Hypargos niveoguttatus
9547,朱背双斑雀,Dybowski's Twinspot,Euschistospiza dybowskii
9548,乌双斑雀,Dusky Twinspot,Euschistospiza cinereovinacea
9549,黑腹火雀,Black-bellied Firefinch,Lagonosticta rara
9550,斑胸火雀,Bar-breasted Firefinch,Lagonosticta rufopicta
9551,褐背火雀,Brown Firefinch,Lagonosticta nitidula
9552,红嘴火雀,Red-billed Firefinch,Lagonosticta senegala
9553,岩火雀,Rock Firefinch,Lagonosticta sanguinodorsalis
9554,赖氏火雀,Chad Firefinch,Lagonosticta umbrinodorsalis
9555,马里火雀,Mali Firefinch,Lagonosticta virata
9556,灰顶火雀,African Firefinch,Lagonosticta rubricata
9557,淡嘴火雀,Landana Firefinch,Lagonosticta landanae
9558,红腹火雀,Jameson's Firefinch,Lagonosticta rhodopareia
9559,黑脸火雀,Black-faced Firefinch,Lagonosticta larvata
9560,安哥拉蓝饰雀,Blue Waxbill,Uraeginthus angolensis
9561,红颊蓝饰雀,Red-cheeked Cordon-bleu,Uraeginthus bengalus
9562,蓝顶蓝饰雀,Blue-capped Cordon-bleu,Uraeginthus cyanocephalus
9563,紫耳蓝饰雀,Violet-eared Waxbill,Granatina granatina
9564,紫蓝饰雀,Purple Grenadier,Granatina ianthinogaster
9565,黄腹梅花雀,Yellow-bellied Waxbill,Coccopygia quartinia
9566,黑颊黄腹梅花雀,Swee Waxbill,Coccopygia melanotis
9567,安哥拉梅花雀,Angolan Waxbill,Coccopygia bocagei
9568,淡蓝梅花雀,Lavender Waxbill,Glaucestrilda caerulescens
9569,黑尾梅花雀,Grey Waxbill,Glaucestrilda perreini
9570,纽氏梅花雀,Cinderella Waxbill,Glaucestrilda thomensis
9571,灰颊梅花雀,Anambra Waxbill,Estrilda poliopareia
9572,黄胸梅花雀,Fawn-breasted Waxbill,Estrilda paludicola
9573,阿比西尼亚梅花雀,Abyssinian Waxbill,Estrilda ochrogaster
9574,橙颊梅花雀,Orange-cheeked Waxbill,Estrilda melpoda
9575,赤腰梅花雀,Crimson-rumped Waxbill,Estrilda rhodopyga
9576,阿拉伯梅花雀,Arabian Waxbill,Estrilda rufibarba
9577,黑腰梅花雀,Black-rumped Waxbill,Estrilda troglodytes
9578,梅花雀,Common Waxbill,Estrilda astrild
9579,黑脸梅花雀,Black-lored Waxbill,Estrilda nigriloris
9580,黑顶梅花雀,Black-crowned Waxbill,Estrilda nonnula
9581,黑头梅花雀,Black-headed Waxbill,Estrilda atricapilla
9582,坎氏梅花雀,Kandt's Waxbill,Estrilda kandti
9583,黑颊梅花雀,Black-faced Waxbill,Brunhilda erythronotos
9584,红腰梅花雀,Black-cheeked Waxbill,Brunhilda charmosyna
9585,红梅花雀,Red Avadavat,Amandava amandava
9586,绿梅花雀,Green Avadavat,Amandava formosa
9587,橙腹梅花雀,Orange-breasted Waxbill,Amandava subflava
9588,黑领鹑雀,Quailfinch,Ortygospiza atricollis
9589,蝗鹑雀,Locust Finch,Paludipasser locustella
9590,彩火尾雀,Painted Finch,Emblema pictum
9591,艳火尾雀,Beautiful Firetail,Stagonopleura bella
9592,红耳火尾雀,Red-eared Firetail,Stagonopleura oculata
9593,斑胁火尾雀,Diamond Firetail,Stagonopleura guttata
9594,红胁火尾雀,Mountain Firetail,Oreostruthus fuliginosus
9595,红眉火尾雀,Red-browed Finch,Neochmia temporalis
9596,赤胸星雀,Crimson Finch,Neochmia phaeton
9597,星雀,Star Finch,Bathilda ruficauda
9598,褐头星雀,Plum-headed Finch,Aidemosyne modesta
9599,白耳草雀,Masked Finch,Poephila personata
9600,长尾草雀,Long-tailed Finch,Poephila acuticauda
9601,黑喉草雀,Black-throated Finch,Poephila cincta
9602,斑胸草雀,Zebra Finch,Taeniopygia guttata
9603,双斑草雀,Double-barred Finch,Stizoptera bichenovii
9604,绿尾鹦雀,Tawny-breasted Parrotfinch,Erythrura hyperythra
9605,长尾鹦雀,Pin-tailed Parrotfinch,Erythrura prasina
9606,绿脸鹦雀,Green-faced Parrotfinch,Erythrura viridifacies
9607,帝汉鹦雀,Tricolored Parrotfinch,Erythrura tricolor
9608,红耳鹦雀,Red-eared Parrotfinch,Erythrura coloria
9609,蓝脸鹦雀,Blue-faced Parrotfinch,Erythrura trichroa
9610,大蓝脸鹦雀,Papuan Parrotfinch,Erythrura papuana
9611,红喉鹦雀,Red-throated Parrotfinch,Erythrura psittacea
9612,红头鹦雀,Red-headed Parrotfinch,Erythrura cyaneovirens
9613,皇鹦雀,Royal Parrotfinch,Erythrura regia
9614,斐济鹦雀,Fiji Parrotfinch,Erythrura pealii
9615,黑脸鹦雀,Pink-billed Parrotfinch,Erythrura kleinschmidti
9616,七彩文鸟,Gouldian Finch,Chloebia gouldiae
9617,马岛文鸟,Madagascan Mannikin,Lepidopygia nana
9618,银嘴文鸟,African Silverbill,Euodice cantans
9619,白喉文鸟,Indian Silverbill,Euodice malabarica
9620,灰头银嘴文鸟,Grey-headed Silverbill,Spermestes griseicapilla
9621,铜色文鸟,Bronze Mannikin,Spermestes cucullata
9622,黑白文鸟,Black-and-white Mannikin,Spermestes bicolor
9623,褐背文鸟,Red-backed Mannikin,Spermestes nigriceps
9624,鹊文鸟,Magpie Mannikin,Spermestes fringilloides
9625,白腰文鸟,White-rumped Munia,Lonchura striata
9626,黑喉文鸟,Javan Munia,Lonchura leucogastroides
9627,暗栗文鸟,Dusky Munia,Lonchura fuscans
9628,黑脸文鸟,Black-faced Munia,Lonchura molucca
9629,斑文鸟,Scaly-breasted Munia,Lonchura punctulata
9630,红胸文鸟,Black-throated Munia,Lonchura kelaarti
9631,白胸文鸟,White-bellied Munia,Lonchura leucogastra
9632,纹头文鸟,Streak-headed Mannikin,Lonchura tristissima
9633,白斑文鸟,White-spotted Mannikin,Lonchura leucosticta
9634,五彩文鸟,Five-colored Munia,Lonchura quinticolor
9635,黑头文鸟,Tricolored Munia,Lonchura malacca
9636,白顶文鸟,White-capped Munia,Lonchura ferruginosa
9637,栗腹文鸟,Chestnut Munia,Lonchura atricapilla
9638,白头文鸟,White-headed Munia,Lonchura maja
9639,淡色文鸟,Pale-headed Munia,Lonchura pallida
9640,大嘴文鸟,Great-billed Mannikin,Lonchura grandis
9641,灰带文鸟,Grey-banded Mannikin,Lonchura vana
9642,灰头文鸟,Grey-headed Mannikin,Lonchura caniceps
9643,灰冠文鸟,Grey-crowned Mannikin,Lonchura nevermanni
9644,黑巾文鸟,Hooded Mannikin,Lonchura spectabilis
9645,栗背文鸟,Forbes's Mannikin,Lonchura forbesi
9646,杂色文鸟,Hunstein's Mannikin,Lonchura hunsteini
9647,黄尾文鸟,Yellow-rumped Mannikin,Lonchura flaviprymna
9648,栗胸文鸟,Chestnut-breasted Mannikin,Lonchura castaneothorax
9649,黑文鸟,Black Mannikin,Lonchura stygia
9650,黑胸文鸟,Black-breasted Mannikin,Lonchura teerinki
9651,高山文鸟,Eastern Alpine Mannikin,Lonchura monticola
9652,雪山文鸟,Western Alpine Mannikin,Lonchura montana
9653,太平洋文鸟,Buff-bellied Mannikin,Lonchura melaena
9654,帝汶禾雀,Timor Sparrow,Lonchura fuscata
9655,爪哇禾雀,Java Sparrow,Lonchura oryzivora
9656,斑胸文鸟,Pictorella Mannikin,Heteromunia pectoralis
9657,靛蓝维达鸟,Village Indigobird,Vidua chalybeata
9658,暗色维达雀,Purple Indigobird,Vidua purpurascens
9659,詹巴杜维达雀,Jambandu Indigobird,Vidua raricola
9660,巴喀维达雀,Barka Indigobird,Vidua larvaticola
9661,暗紫维达雀,Dusky Indigobird,Vidua funerea
9662,双斑维达雀,Zambezi Indigobird,Vidua codringtoni
9663,淡翅维达雀,Wilson's Indigobird,Vidua wilsoni
9664,鹑雀达雀,Quailfinch Indigobird,Vidua nigeriae
9665,乔斯维达雀,Jos Plateau Indigobird,Vidua maryae
9666,喀麦隆维达雀,Cameroon Indigobird,Vidua camerunensis
9667,针尾维达雀,Pin-tailed Whydah,Vidua macroura
9668,辉蓝维达雀,Steel-blue Whydah,Vidua hypocherina
9669,草尾维达鸟,Straw-tailed Whydah,Vidua fischeri
9670,箭尾维达雀,Shaft-tailed Whydah,Vidua regia
9671,乐园维达雀,Long-tailed Paradise Whydah,Vidua paradisaea
9672,北维达雀,Sahel Paradise Whydah,Vidua orientalis
9673,长尾维达雀,Exclamatory Paradise Whydah,Vidua interjecta
9674,多哥维达雀,Togo Paradise Whydah,Vidua togoensis
9675,宽尾维达雀,Broad-tailed Paradise Whydah,Vidua obtusa
9676,寄生织雀,Cuckoo-finch,Anomalospiza imberbis
9677,橄榄绿森莺,Olive Warbler,Peucedramus taeniatus
9678,领岩鹨,Alpine Accentor,Prunella collaris
9679,高原岩鹨,Altai Accentor,Prunella himalayana
9680,鸲岩鹨,Robin Accentor,Prunella rubeculoides
9681,棕胸岩鹨,Rufous-breasted Accentor,Prunella strophiata
9682,棕眉山岩鹨,Siberian Accentor,Prunella montanella
9683,褐岩鹨,Brown Accentor,Prunella fulvescens
9684,眼斑岩鹨,Radde's Accentor,Prunella ocularis
9685,也门岩鹨,Arabian Accentor,Prunella fagani
9686,黑喉岩鹨,Black-throated Accentor,Prunella atrogularis
9687,贺兰山岩鹨,Kozlov's Accentor,Prunella koslowi
9688,林岩鹨,Dunnock,Prunella modularis
9689,红岩鹨,Japanese Accentor,Prunella rubida
9690,栗背岩鹨,Maroon-backed Accentor,Prunella immaculata
9691,山鹡鸰,Forest Wagtail,Dendronanthus indicus
9692,西黄鹡鸰,Western Yellow Wagtail,Motacilla flava
9693,黄鹡鸰,Eastern Yellow Wagtail,Motacilla tschutschensis
9694,黄头鹡鸰,Citrine Wagtail,Motacilla citreola
9695,海角鹡鸰,Cape Wagtail,Motacilla capensis
9696,马岛鹡鸰,Madagascan Wagtail,Motacilla flaviventris
9697,灰鹡鸰,Grey Wagtail,Motacilla cinerea
9698,非洲山鹡鸰,Mountain Wagtail,Motacilla clara
9699,白鹡鸰,White Wagtail,Motacilla alba
9700,非洲斑鹡鸰,African Pied Wagtail,Motacilla aguimp
9701,湄公鹡鸰,Mekong Wagtail,Motacilla samveasnae
9702,日本鹡鸰,Japanese Wagtail,Motacilla grandis
9703,大斑鹡鸰,White-browed Wagtail,Motacilla maderaspatensis
9704,金鹨,Golden Pipit,Tmetothylacus tenellus
9705,夏氏长爪鹡鸰,Sharpe's Longclaw,Macronyx sharpei
9706,黄颈长爪鹡鸰,Abyssinian Longclaw,Macronyx flavicollis
9707,福氏长爪鹡鸰,Fülleborn's Longclaw,Macronyx fuelleborni
9708,橙喉长爪鹡鸰,Cape Longclaw,Macronyx capensis
9709,黄喉长爪鹡鸰,Yellow-throated Longclaw,Macronyx croceus
9710,橘红长爪鹡鸰,Pangani Longclaw,Macronyx aurantiigula
9711,红胸长爪鹡鸰,Rosy-throated Longclaw,Macronyx ameliae
9712,格氏长爪鹡鸰,Grimwood's Longclaw,Macronyx grimwoodi
9713,理氏鹨,Richard's Pipit,Anthus richardi
9714,田鹨,Paddyfield Pipit,Anthus rufulus
9715,澳洲鹨,Australian Pipit,Anthus australis
9716,新西兰鹨,New Zealand Pipit,Anthus novaeseelandiae
9717,非洲鹨,African Pipit,Anthus cinnamomeus
9718,山地鹨,Mountain Pipit,Anthus hoeschi
9719,布氏鹨,Blyth's Pipit,Anthus godlewskii
9720,平原鹨,Tawny Pipit,Anthus campestris
9721,长嘴鹨,Long-billed Pipit,Anthus similis
9722,林地鹨,Wood Pipit,Anthus nyassae
9723,沙黄鹨,Buffy Pipit,Anthus vaalensis
9724,纯背鹨,Plain-backed Pipit,Anthus leucophrys
9725,长脚鹨,Long-legged Pipit,Anthus pallidiventris
9726,草地鹨,Meadow Pipit,Anthus pratensis
9727,林鹨,Tree Pipit,Anthus trivialis
9728,树鹨,Olive-backed Pipit,Anthus hodgsoni
9729,北鹨,Pechora Pipit,Anthus gustavi
9730,粉红胸鹨,Rosy Pipit,Anthus roseatus
9731,红喉鹨,Red-throated Pipit,Anthus cervinus
9732,黄腹鹨,Buff-bellied Pipit,Anthus rubescens
9733,水鹨,Water Pipit,Anthus spinoletta
9734,石鹨,Eurasian Rock Pipit,Anthus petrosus
9735,印度鹨,Nilgiri Pipit,Anthus nilghiriensis
9736,山鹨,Upland Pipit,Anthus sylvanus
9737,伯氏鹨,Berthelot's Pipit,Anthus berthelotii
9738,条纹鹨,Striped Pipit,Anthus lineiventris
9739,南非石鹨,African Rock Pipit,Anthus crenatus
9740,短尾鹨,Short-tailed Pipit,Anthus brachyurus
9741,南非鹨,Bushveld Pipit,Anthus caffer
9742,东非鹨,Sokoke Pipit,Anthus sokokensis
9743,灰鹨,Malindi Pipit,Anthus melindae
9744,黄胸鹨,Yellow-breasted Pipit,Anthus chloris
9745,斑喉鹨,Alpine Pipit,Anthus gutturalis
9746,斯氏鹨,Sprague's Pipit,Anthus spragueii
9747,黄鹨,Yellowish Pipit,Anthus lutescens
9748,秘鲁鹨,Peruvian Pipit,Anthus peruvianus
9749,短嘴鹨,Short-billed Pipit,Anthus furcatus
9750,普那草原鹨,Puna Pipit,Anthus brevirostris
9751,查科鹨,Pampas Pipit,Anthus chacoensis
9752,科雷鹨,Correndera Pipit,Anthus correndera
9753,南极鹨,South Georgia Pipit,Anthus antarcticus
9754,赭胸鹨,Ochre-breasted Pipit,Anthus nattereri
9755,赫氏鹨,Hellmayr's Pipit,Anthus hellmayri
9756,帕拉鹨,Paramo Pipit,Anthus bogotensis
9757,马丹绣眼鸟,Madanga,Anthus ruficollis
9758,包氏长嘴莺,Sao Tome Shorttail,Motacilla bocagii
9759,朱鹀,Przevalski's Finch,Urocynchramus pylzowi
9760,苍头燕雀,Common Chaffinch,Fringilla coelebs
9761,蓝燕雀,Tenerife Blue Chaffinch,Fringilla teydea
9762,大加那利岛蓝燕雀,Gran Canaria Blue Chaffinch,Fringilla polatzeki
9763,燕雀,Brambling,Fringilla montifringilla
9764,黄腹拟蜡嘴雀,Black-and-yellow Grosbeak,Mycerobas icterioides
9765,黄颈拟蜡嘴雀,Collared Grosbeak,Mycerobas affinis
9766,白点翅拟蜡嘴雀,Spot-winged Grosbeak,Mycerobas melanozanthos
9767,白斑翅拟蜡嘴雀,White-winged Grosbeak,Mycerobas carnipes
9768,黄昏锡嘴雀,Evening Grosbeak,Hesperiphona vespertina
9769,黑冠锡嘴雀,Hooded Grosbeak,Hesperiphona abeillei
9770,锡嘴雀,Hawfinch,Coccothraustes coccothraustes
9771,黑尾蜡嘴雀,Chinese Grosbeak,Eophona migratoria
9772,黑头蜡嘴雀,Japanese Grosbeak,Eophona personata
9773,松雀,Pine Grosbeak,Pinicola enucleator
9774,褐灰雀,Brown Bullfinch,Pyrrhula nipalensis
9775,橙色灰雀,Orange Bullfinch,Pyrrhula aurantiaca
9776,红头灰雀,Red-headed Bullfinch,Pyrrhula erythrocephala
9777,灰头灰雀,Grey-headed Bullfinch,Pyrrhula erythaca
9778,白颊灰雀,White-cheeked Bullfinch,Pyrrhula leucogenis
9779,红腹灰雀,Eurasian Bullfinch,Pyrrhula pyrrhula
9780,圣米格尔红腹灰雀,Azores Bullfinch,Pyrrhula murina
9781,红翅沙雀,Asian Crimson-winged Finch,Rhodopechys sanguineus
9782,非洲红翅沙雀,African Crimson-winged Finch,Rhodopechys alienus
9783,沙雀,Trumpeter Finch,Bucanetes githagineus
9784,蒙古沙雀,Mongolian Finch,Bucanetes mongolicus
9785,赤朱雀,Blanford's Rosefinch,Agraphospiza rubescens
9786,红眉金翅雀,Spectacled Finch,Callacanthis burtoni
9787,金枕黑雀,Golden-naped Finch,Pyrrhoplectes epauletta
9788,暗胸朱雀,Dark-breasted Rosefinch,Procarduelis nipalensis
9789,林岭雀,Plain Mountain Finch,Leucosticte nemoricola
9790,高山岭雀,Brandt's Mountain Finch,Leucosticte brandti
9791,粉红腹岭雀,Asian Rosy Finch,Leucosticte arctoa
9792,灰头岭雀,Grey-crowned Rosy Finch,Leucosticte tephrocotis
9793,黑岭雀,Black Rosy Finch,Leucosticte atrata
9794,褐顶岭雀,Brown-capped Rosy Finch,Leucosticte australis
9795,普通朱雀,Common Rosefinch,Carpodacus erythrinus
9796,血雀,Scarlet Finch,Carpodacus sipahi
9797,笠原臘嘴雀,Bonin Grosbeak,Carpodacus ferreorostris
9798,拟大朱雀,Streaked Rosefinch,Carpodacus rubicilloides
9799,大朱雀,Great Rosefinch,Carpodacus rubicilla
9800,喜山红腰朱雀,Blyth's Rosefinch,Carpodacus grandis
9801,红腰朱雀,Red-mantled Rosefinch,Carpodacus rhodochlamys
9802,喜山红眉朱雀,Himalayan Beautiful Rosefinch,Carpodacus pulcherrimus
9803,红眉朱雀,Chinese Beautiful Rosefinch,Carpodacus davidianus
9804,曙红朱雀,Pink-rumped Rosefinch,Carpodacus waltoni
9805,玫红眉朱雀,Pink-browed Rosefinch,Carpodacus rodochroa
9806,棕朱雀,Dark-rumped Rosefinch,Carpodacus edwardsii
9807,喜山点翅朱雀,Spot-winged Rosefinch,Carpodacus rodopeplus
9808,点翅朱雀,Sharpe's Rosefinch,Carpodacus verreauxii
9809,酒红朱雀,Vinaceous Rosefinch,Carpodacus vinaceus
9810,台湾酒红朱雀,Taiwan Rosefinch,Carpodacus formosanus
9811,西奈淡色朱雀,Sinai Rosefinch,Carpodacus synoicus
9812,沙色朱雀,Pale Rosefinch,Carpodacus stoliczkae
9813,藏雀,Tibetan Rosefinch,Carpodacus roborowskii
9814,褐头岭雀,Sillem's Mountain Finch,Carpodacus sillemi
9815,长尾雀,Long-tailed Rosefinch,Carpodacus sibiricus
9816,北朱雀,Pallas's Rosefinch,Carpodacus roseus
9817,斑翅朱雀,Three-banded Rosefinch,Carpodacus trifasciatus
9818,喜山白眉朱雀,Himalayan White-browed Rosefinch,Carpodacus thura
9819,白眉朱雀,Chinese White-browed Rosefinch,Carpodacus dubius
9820,红胸朱雀,Red-fronted Rosefinch,Carpodacus puniceus
9821,红眉松雀,Crimson-browed Finch,Carpodacus subhimachalus
9822,毛岛蜜雀,Poo-uli,Melamprosops phaeosoma
9823,瓦岛管舌雀,Oahu Alauahio,Paroreomyza maculata
9824,莫岛管舌雀,Kakawahie,Paroreomyza flammea
9825,毛岛管舌雀,Maui Alauahio,Paroreomyza montana
9826,考岛悬木雀,Akikiki,Oreomystis bairdi
9827,莱岛拟管舌雀,Laysan Finch,Telespiza cantans
9828,尼岛拟管舌雀,Nihoa Finch,Telespiza ultima
9829,黄胸管舌雀,Palila,Loxioides bailleui
9830,黄头拟管舌鸟,Lesser Koa Finch,Rhodacanthis flaviceps
9831,大管鸹,Greater Koa Finch,Rhodacanthis palmeri
9832,科纳松雀,Kona Grosbeak,Chloridops kona
9833,鹦嘴管舌雀,Ou,Psittirostra psittacea
9834,夏威夷钩嘴雀,Lanai Hookbill,Dysmorodrepanis munroi
9835,镰嘴管舌雀,Iiwi,Drepanis coccinea
9836,夏威夷监督吸蜜鸟,Hawaii Mamo,Drepanis pacifica
9837,黑监督吸蜜鸟,Black Mamo,Drepanis funerea
9838,安娜黑领雀,Ula-ai-hawane,Ciridops anna
9839,冠旋蜜雀,Akohekohe,Palmeria dolei
9840,白臀蜜雀,Apapane,Himatione sanguinea
9841,莱岛蜜雀,Laysan Honeycreeper,Himatione fraithii
9842,大颚雀,Greater Amakihi,Viridonia sagittirostris
9843,长嘴导颚雀,Lesser Akialoa,Akialoa obscura
9844,大喙雀,Oahu Akialoa,Akialoa ellisiana
9845,考艾大喙雀,Kauai Akialoa,Akialoa stejnegeri
9846,茂宜大喙雀,Maui-nui Akialoa,Akialoa lanaiensis
9847,短镰嘴雀,Oahu Nukupuu,Hemignathus lucidus
9848,考艾短镰嘴雀,Kauai Nukupuu,Hemignathus hanapepe
9849,茂宜短镰嘴雀,Maui Nukupuu,Hemignathus affinis
9850,镰嘴雀,Akiapolaau,Hemignathus wilsoni
9851,毛岛鹦嘴雀,Maui Parrotbill,Pseudonestor xanthophrys
9852,小绿雀,Anianiau,Magumma parva
9853,夏威夷悬木雀,Hawaii Creeper,Loxops mana
9854,考岛管舌雀,Akekee,Loxops caeruleirostris
9855,红管舌雀,Hawaii Akepa,Loxops coccineus
9856,瓦岛红管舌雀,Oahu Akepa,Loxops wolstenholmei
9857,茂宜红管舌雀,Maui Akepa,Loxops ochraceus
9858,夏威夷绿雀,Hawaii Amakihi,Chlorodrepanis virens
9859,瓦岛绿雀,Oahu Amakihi,Chlorodrepanis flava
9860,考岛绿雀,Kauai Amakihi,Chlorodrepanis stejnegeri
9861,紫朱雀,Purple Finch,Haemorhous purpureus
9862,卡氏朱雀,Cassin's Finch,Haemorhous cassinii
9863,家朱雀,House Finch,Haemorhous mexicanus
9864,欧金翅雀,European Greenfinch,Chloris chloris
9865,金翅雀,Grey-capped Greenfinch,Chloris sinica
9866,高山金翅雀,Yellow-breasted Greenfinch,Chloris spinoides
9867,越南金翅雀,Vietnamese Greenfinch,Chloris monguilloti
9868,黑头金翅雀,Black-headed Greenfinch,Chloris ambigua
9869,巨嘴沙雀,Desert Finch,Rhodospiza obsoleta
9870,金翅蜡嘴雀,Socotra Golden-winged Grosbeak,Rhynchostruthus socotranus
9871,阿拉伯金翅蜡嘴雀,Arabian Golden-winged Grosbeak,Rhynchostruthus percivali
9872,索马里金翅蜡嘴雀,Somali Golden-winged Grosbeak,Rhynchostruthus louisae
9873,鹂雀,Oriole Finch,Linurgus olivaceus
9874,普林丝雀,Principe Seedeater,Crithagra rufobrunnea
9875,圣多美蜡嘴雀,Sao Tome Grosbeak,Crithagra concolor
9876,非洲丝雀,African Citril,Crithagra citrinelloides
9877,西部丝雀,Western Citril,Crithagra frontalis
